0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,
0.45,0.9,0.45,0.9,1.8,0.9,0.45,0.9,0.45,1.35,1.35,0.9,0.45,0.45,1.35,0.9,0.9,0.45,1.35,0.45,0.45,0.45,0.45,0.9,0.9,1.35,0.9,0.9,0.45,0.9,0.9,0.9,1.35,0.9,0.45,0.9,1.35,1.35,1.35,0.9,0.45,1.35,0.9,0.45,0.9,0.45,0.9,0.9,0.9,0.45,
1.35,0.45,1.35,1.35,1.8,1.35,0.9,0.45,0.45,1.8,1.8,1.8,1.8,1.35,1.8,0.45,1.35,0.9,0.9,1.35,0.9,0.45,0.9,0.9,0.9,2.25,0.9,1.8,0.45,1.35,0.9,0.9,1.8,1.8,1.35,0.9,1.35,2.25,1.8,1.8,0.9,2.25,0.9,1.35,0.9,0.9,0.45,0.9,1.35,0.9,
1.8,1.35,2.25,1.8,1.8,2.25,0.45,1.8,1.8,1.8,1.35,2.25,1.8,1.35,1.35,1.8,1.8,1.35,0.9,1.35,1.35,1.8,1.35,0.9,0.9,2.25,1.8,1.35,0.45,1.35,1.35,1.35,1.8,2.7,1.35,1.8,2.25,2.25,1.8,2.25,1.8,2.7,2.7,1.8,0.45,0.9,0.9,1.35,1.35,0.9,
1.8,2.7,2.25,2.25,2.25,2.25,1.35,1.8,1.8,2.25,2.25,3.15,2.7,1.35,1.35,1.35,1.35,2.25,1.8,1.35,1.35,2.25,2.25,1.35,0.9,2.25,1.8,1.8,1.8,1.8,1.8,1.8,2.25,2.7,1.35,2.25,2.7,3.15,2.25,2.7,2.25,3.15,3.6,2.25,0.9,0.9,0.9,1.8,1.35,1.8,
1.35,3.15,2.7,3.15,1.8,3.15,1.8,2.25,2.7,2.25,2.7,3.6,2.7,2.7,1.35,1.8,0.9,2.7,2.25,1.35,2.25,2.25,2.25,1.35,1.35,2.25,2.25,1.8,2.25,2.7,2.25,1.8,3.15,3.15,1.35,3.15,2.7,4.05,3.6,2.7,3.15,3.6,3.15,3.15,1.35,0.9,0.9,1.8,1.35,2.25,
1.8,2.7,2.7,3.6,2.25,4.5,2.25,1.8,3.15,2.25,3.15,3.6,3.15,3.6,1.35,2.25,0.9,2.7,1.8,2.25,2.7,2.25,3.6,1.35,2.25,2.7,2.25,1.8,2.7,3.6,2.25,2.25,3.15,4.05,2.25,3.15,2.7,4.5,3.6,2.7,4.05,3.15,4.05,4.05,0.9,0.9,1.35,2.25,2.25,3.6,
1.8,3.6,2.7,4.95,3.15,4.05,2.25,2.25,3.15,2.7,4.05,3.6,3.6,4.05,1.35,2.7,1.35,2.7,1.35,2.25,3.6,2.7,4.5,2.25,2.25,2.7,2.25,1.35,4.05,4.05,2.7,2.25,3.15,4.95,2.7,3.6,2.7,4.5,4.05,2.7,4.05,3.6,5.85,4.05,1.8,0.9,1.35,2.7,3.15,4.05,
1.8,4.5,2.7,4.95,3.6,5.4,3.15,2.7,4.05,2.7,4.05,4.5,4.05,4.05,1.35,3.15,1.35,2.7,2.25,2.7,4.5,4.05,4.05,2.25,1.8,3.15,2.7,1.8,3.6,4.05,3.15,1.8,3.6,5.4,3.15,4.95,3.6,5.4,4.05,3.15,4.95,4.5,6.3,4.05,1.8,0.9,1.8,2.7,3.15,5.4,
1.35,4.5,3.15,6.3,4.5,5.85,2.7,3.15,4.05,3.15,4.05,4.95,4.5,5.4,1.8,3.6,0.9,2.7,2.7,3.15,4.95,4.05,4.5,2.25,2.25,3.15,3.15,2.25,4.05,4.5,4.05,2.25,4.05,6.3,2.7,5.4,4.5,4.95,5.4,4.05,4.5,5.4,6.3,4.05,3.15,0.9,1.8,2.7,3.6,6.3,
1.8,5.85,4.05,5.85,4.5,5.85,3.15,4.05,4.5,3.15,4.05,5.85,4.95,5.85,3.15,3.15,1.35,3.15,2.25,4.05,5.4,4.95,5.85,2.7,2.25,3.6,3.15,2.7,4.05,4.5,4.5,2.25,4.5,6.3,3.15,6.75,4.5,5.85,6.3,4.05,4.5,5.4,6.75,4.5,4.5,1.8,2.25,2.25,3.6,7.2,
2.25,5.85,4.95,6.3,4.5,6.3,3.15,4.05,5.4,3.15,4.5,5.85,5.4,7.2,3.6,3.6,2.25,3.6,3.15,4.5,4.95,5.85,5.4,3.6,2.7,3.6,4.05,2.7,4.5,4.5,5.4,2.7,4.5,6.3,3.15,7.2,4.5,6.3,6.75,4.5,5.85,5.85,6.3,4.95,4.05,1.35,2.7,2.25,4.5,8.55,
2.7,5.85,4.95,5.85,5.4,7.2,3.6,4.5,5.85,2.7,4.95,6.75,4.95,8.1,4.05,4.5,3.15,3.6,3.15,4.5,5.4,6.75,5.85,4.05,3.6,3.6,4.5,2.7,4.95,5.85,4.95,3.15,4.5,5.85,4.05,7.65,4.95,7.2,7.2,4.95,6.3,6.3,6.75,4.95,4.5,1.35,3.15,2.7,5.4,9,
3.15,6.3,4.95,6.75,4.95,7.2,4.95,4.95,6.3,4.05,4.95,6.75,5.85,8.1,4.5,4.95,3.15,4.95,4.05,5.4,5.4,7.65,5.85,4.05,4.05,4.05,4.5,2.7,5.4,5.85,4.95,3.6,4.95,6.3,4.5,8.1,5.4,7.65,8.1,5.85,7.2,6.75,7.65,4.5,4.95,1.35,3.15,2.7,6.3,9,
3.15,7.2,5.4,7.65,5.85,7.2,4.95,4.5,6.75,5.4,5.85,7.2,6.75,8.1,5.85,5.4,3.15,4.5,3.6,5.85,5.4,7.65,6.75,4.95,4.05,4.5,5.4,2.25,5.85,7.2,4.95,4.05,4.5,6.75,5.4,9,5.85,7.65,9,5.85,8.1,7.2,7.65,5.4,4.95,0.9,3.6,3.15,6.75,9,
3.15,7.2,5.4,7.2,5.85,8.1,5.85,5.4,7.2,5.85,6.3,7.65,7.2,7.65,5.85,5.85,3.15,5.4,4.05,5.85,5.4,8.1,7.2,5.4,4.5,5.4,6.3,2.7,6.75,6.75,4.95,4.5,4.95,7.2,5.85,9,6.3,8.1,9,6.3,8.1,7.65,8.55,5.85,5.4,1.35,3.15,4.05,7.2,9,
3.15,7.65,5.4,7.65,6.3,8.55,6.3,5.85,8.1,5.85,7.2,8.1,8.55,7.65,6.3,6.3,3.15,5.85,4.05,6.3,5.4,8.55,8.1,5.4,4.95,5.4,6.3,3.15,6.75,7.65,4.95,6.3,5.4,7.2,6.3,8.55,6.75,9,9,6.75,9,7.65,8.55,6.75,6.3,2.25,4.05,4.05,7.65,9,
3.6,8.1,5.85,8.55,5.85,9.45,7.2,6.3,8.55,6.3,7.65,8.55,9.45,7.65,6.75,5.85,3.6,5.85,4.05,7.65,6.3,9,8.55,5.4,4.95,4.95,7.2,3.15,7.2,7.65,5.4,7.2,5.85,8.1,5.85,9.45,7.65,9,9.45,6.3,9,8.55,8.55,7.2,6.75,2.25,5.4,3.6,7.65,9,
3.6,9.45,6.75,9,6.3,9,7.2,6.75,9,7.65,7.2,8.55,9.45,7.2,7.65,7.65,4.05,6.3,4.05,7.65,6.75,9.45,9,5.4,5.85,5.4,7.65,3.15,7.65,8.1,5.4,7.2,5.85,8.55,6.75,9.45,8.1,9.45,9.45,6.75,9.45,8.55,9,7.2,6.3,3.15,5.4,4.5,8.1,9,
3.15,9.9,6.75,8.55,6.75,9.9,7.65,7.65,9.45,8.1,7.2,9.9,9,8.1,7.65,8.55,4.5,6.75,3.6,7.65,7.2,9.9,9,5.85,5.85,5.4,9.45,3.6,8.55,8.1,5.4,6.75,6.3,9.45,6.75,9,8.1,9.45,9,7.2,9,8.55,9.45,8.1,6.75,4.05,5.85,4.05,9,9,
3.15,9.9,6.75,9,6.75,9.45,8.55,8.1,9,8.55,7.65,9.45,9.45,8.1,8.1,8.55,4.05,7.2,4.05,9.45,8.1,9.9,8.55,5.4,6.3,5.85,9,4.95,8.55,8.1,4.95,7.2,7.2,9,7.2,9.45,8.1,9.45,9.45,7.65,9.45,9,9.45,8.55,7.2,4.5,6.3,4.05,9.45,9,
3.15,9.9,7.2,9.45,7.2,9.45,8.1,8.55,9.45,9,7.65,9.45,9.9,8.55,9.45,8.55,4.05,7.2,4.05,9.9,8.1,9.9,8.55,5.4,6.75,6.3,9.45,4.5,9,9,5.4,8.1,7.2,9,8.1,9,8.1,9.9,9.45,8.1,9.9,9.45,9.45,8.1,7.65,4.5,6.75,4.5,9.45,9,
3.6,9.9,7.65,9.45,7.65,9,8.55,9.9,9.45,9.45,8.1,9.9,9.45,9,9,8.55,4.95,7.2,4.05,9.9,8.55,9.45,9,5.85,7.2,6.3,9.45,4.95,8.55,9.45,5.85,8.1,7.65,9.45,9,8.55,8.55,9.9,9,9,9.45,9.9,9,8.1,7.2,4.5,6.75,5.4,9,9,
3.6,9.9,8.1,9,7.65,9,9,9.9,9.45,9.9,8.55,9.45,9.9,9,9.45,8.55,4.95,7.65,4.05,9.9,8.55,9.45,9.45,5.85,8.55,7.2,9,4.5,8.55,9.9,6.3,9,8.1,9.45,9,9,9,9.45,9.45,9,9.45,9.45,9.9,8.55,8.1,5.4,6.75,5.85,8.55,9,
3.6,9.9,8.1,9.9,7.65,9.9,9,9.9,9.9,9.9,9,9,9.9,9.45,9,9,6.3,7.65,5.4,9.9,8.1,9.9,9,5.85,9,6.75,9,4.5,9.45,9.45,7.2,9,8.55,9.45,8.55,9.45,9.9,9,9.9,9,9,9.45,9.9,9.45,8.1,5.85,6.75,6.3,9,9,
3.6,9.9,9,9.9,8.1,9.9,9.45,9.45,9.45,9.45,9.45,9,9.9,9,9,9,6.75,9,5.85,9.45,9,9.45,9.45,6.3,9.45,7.65,9.45,4.95,9.45,9.45,7.65,9,9.45,9,9.9,9.45,9.9,9,9.9,8.55,9.9,9.45,9.9,9.45,8.55,5.4,7.65,6.3,9,9,
3.6,9.9,9,9.9,8.55,9.9,9.45,9.45,9.45,9.9,9.9,9.45,9.45,9.9,9,9.9,8.1,9,6.3,9.45,8.55,9,9.45,6.75,9,8.1,9.9,6.3,9,9.9,8.1,9,9.45,9,9.9,9.9,9.9,8.55,9.9,9,9.45,9,9.9,9.45,9.45,5.85,8.1,6.3,9,9,
