2,1
2,1
2,1
2,1
2,1
3,1
3,1
3,2
4,1
4,3
4,3
4,1
5,1
5,4
5,4
5,1
6,1
6,5
6,5
6,1
7,1
7,6
7,6
7,1
7,1
8,1
8,7
8,7
8,1
9,1
9,8
9,8
9,1
10,1
10,9
10,9
10,1
10,1
10,1
11,1
11,10
11,10
11,1
11,1
12,1
12,11
12,11
13,1
13,12
13,12
13,1
13,1
14,1
14,13
14,13
14,1
14,1
14,1
15,1
15,14
15,14
15,1
16,1
16,15
16,15
16,1
17,1
17,14
17,15
18,1
18,14
18,15
19,1
19,14
19,15
19,1
19,1
20,1
20,14
20,15
20,1
20,1
21,1
21,14
21,15
21,1
22,1
22,14
22,15
22,1
23,1
23,14
23,15
23,1
23,1
23,1
23,1
24,1
24,14
24,15
24,1
24,1
25,1
25,14
25,15
25,1
26,1
26,14
26,15
27,1
27,14
27,15
27,1
27,1
27,1
27,1
28,1
28,14
28,15
28,1
28,1
28,1
28,1
28,1
29,1
29,14
29,15
30,1
30,14
30,15
30,1
30,1
30,1
31,1
31,14
31,15
31,1
32,1
32,14
32,15
32,1
32,1
32,1
33,1
33,14
33,15
33,1
34,1
34,14
34,15
34,1
34,1
35,1
35,14
35,15
35,1
35,1
36,1
36,14
36,15
37,1
37,14
37,15
37,1
38,1
38,14
38,15
38,1
39,1
39,14
39,15
39,1
40,1
40,14
40,15
40,1
41,1
41,14
41,15
41,1
41,1
42,1
42,14
42,15
42,1
43,1
43,14
43,15
43,1
43,1
43,1
44,1
44,14
44,15
44,1
45,1
45,14
45,15
46,1
46,14
46,15
46,1
47,1
47,14
47,15
47,1
47,1
47,1
48,1
48,14
48,15
48,1
48,1
48,1
48,1
49,1
49,14
49,15
49,1
50,1
50,14
50,15
51,1
51,14
51,15
51,1
52,1
52,14
52,15
52,1
53,1
53,14
53,15
53,1
53,1
54,1
54,14
54,15
54,1
54,1
55,1
55,14
55,15
55,1
55,1
55,1
56,1
56,14
56,15
56,1
57,1
57,14
57,15
57,1
58,1
58,14
58,15
58,1
58,1
59,1
59,14
59,15
59,1
60,1
60,14
60,15
61,1
61,14
61,15
61,1
62,1
62,14
62,15
62,1
62,1
62,1
62,1
63,1
63,14
63,15
63,1
64,1
64,14
64,15
64,1
65,1
65,14
65,15
66,1
66,14
66,15
66,1
66,1
67,1
67,14
67,15
67,1
67,1
68,1
68,14
68,15
68,1
68,1
69,1
69,14
69,15
69,1
70,1
70,14
70,15
70,1
71,1
71,14
71,15
71,1
71,1
72,1
72,14
72,15
72,1
72,1
72,1
72,1
73,1
73,14
73,15
73,1
74,1
74,14
74,15
75,1
75,14
75,15
75,1
75,1
76,1
76,14
76,15
76,1
77,1
77,14
77,15
77,1
77,1
77,1
78,1
78,14
78,15
78,1
78,1
78,1
79,1
79,14
79,15
79,1
80,1
80,14
80,15
81,1
81,14
81,15
81,1
82,1
82,14
82,15
82,1
82,1
82,1
82,1
83,1
83,14
83,15
83,1
83,1
83,1
83,1
83,1
84,1
84,14
84,15
84,1
84,1
85,1
85,14
85,15
85,1
85,1
85,1
86,1
86,14
86,15
87,1
87,14
87,15
87,1
88,1
88,14
88,15
88,1
89,1
89,14
89,15
89,1
89,1
89,1
90,1
90,14
90,15
90,1
90,1
91,1
91,14
91,15
91,1
91,1
91,1
92,1
92,14
92,15
92,1
93,1
93,14
93,15
93,1
94,1
94,14
94,15
94,1
94,1
94,1
94,1
95,1
95,14
95,15
95,1
95,1
95,1
96,1
96,14
96,15
96,1
96,1
96,1
97,1
97,14
97,15
97,1
97,1
97,1
98,1
98,14
98,15
98,1
99,1
99,14
99,15
99,1
99,1
100,1
100,14
100,15
100,1
100,1
