0,0,0
50,6,0
118,27,0
186,47,0
254,68,0
322,89,0
390,111,0
438,132,20
479,155,47
519,177,75
561,201,101
602,224,128
641,245,157
683,269,183
724,292,210
765,315,237
808,340,262
849,363,289
891,387,315
931,409,343
971,431,371
1010,452,400
1049,473,429
1088,494,458
1128,516,486
1171,541,511
1212,564,538
1251,585,567
1290,606,596
1330,628,624
1369,649,653
1410,672,680
1451,695,707
1491,717,735
1529,737,765
1568,758,794
1606,778,824
1645,799,853
1687,823,879
1727,845,907
1769,869,933
1809,891,961
1850,914,988
1889,935,1017
1929,957,1045
1969,979,1073
2008,1000,1102
2051,1025,1127
2091,1047,1155
2130,1068,1184
2169,1089,1213
2207,1109,1243
2246,1130,1272
2285,1151,1301
2323,1171,1331
2364,1194,1358
2405,1217,1385
2448,1242,1410
2489,1265,1437
2529,1287,1465
2570,1310,1492
2610,1332,1520
2650,1354,1548
2689,1375,1577
2728,1396,1606
2768,1418,1634
2809,1441,1661
2849,1463,1689
2887,1483,1719
2927,1505,1747
2966,1526,1776
3007,1549,1803
3048,1572,1830
3088,1594,1858
3128,1616,1886
3169,1639,1913
3208,1660,1942
3250,1684,1968
3290,1706,1996
3328,1726,2026
3366,1746,2056
3404,1766,2086
3444,1788,2114
3484,1810,2142
3523,1831,2171
3561,1851,2201
3600,1872,2230
3643,1897,2255
3681,1917,2285
3721,1939,2313
3761,1961,2341
3799,1981,2371
3839,2003,2399
3879,2025,2427
3918,2046,2456
3959,2069,2483
3998,2090,2512
4039,2113,2539
4082,2138,2564
4124,2162,2590
