0,0,0
50,6,0
100,8,0
150,12,0
200,16,0
250,21,0
300,23,0
350,25,0
399,28,1
446,35,4
492,40,8
533,43,17
571,51,29
595,56,55
622,57,78
641,64,109
650,68,150
662,73,188
670,77,230
673,79,277
677,83,323
682,85,368
689,92,411
694,96,456
695,97,505
700,102,550
705,106,595
708,109,642
711,112,689
712,113,738
713,114,787
719,120,831
724,125,876
727,128,923
729,130,971
737,138,1013
741,142,1059
744,145,1106
751,152,1149
755,156,1195
757,158,1243
760,161,1290
765,166,1335
767,168,1383
770,171,1430
775,176,1475
779,180,1521
785,186,1565
788,189,1612
789,190,1661
790,191,1710
794,195,1756
800,201,1800
802,203,1848
805,206,1895
810,211,1940
813,214,1987
816,217,2034
821,222,2079
821,222,2129
825,226,2175
829,230,2221
833,234,2267
838,239,2312
839,240,2361
843,244,2407
846,247,2454
847,248,2503
854,255,2546
861,262,2589
863,264,2637
871,272,2679
871,272,2729
875,276,2775
880,281,2820
883,284,2867
888,289,2912
894,295,2956
901,302,2999
906,307,3044
910,311,3090
912,313,3138
919,320,3181
923,324,3227
928,329,3272
932,333,3318
936,337,3364
941,342,3409
944,345,3456
948,349,3502
954,355,3546
960,361,3590
961,362,3639
965,366,3685
968,369,3732
970,371,3780
978,379,3822
985,386,3865
991,392,3909
994,395,3956
