0,0,0
50,5,0
100,11,0
150,23,0
200,27,0
250,35,0
293,44,7
327,50,23
359,59,41
386,62,64
413,69,87
437,76,113
460,83,140
483,90,167
502,98,198
525,108,225
543,117,257
562,125,288
578,131,322
590,136,360
602,141,398
617,148,433
629,153,471
647,164,503
655,167,545
663,172,587
675,181,625
690,187,660
702,196,698
709,200,741
721,209,779
730,215,820
740,221,860
749,227,901
758,234,942
769,241,981
779,247,1021
790,255,1060
795,258,1105
798,259,1152
803,263,1197
811,267,1239
815,270,1285
824,279,1326
831,284,1369
836,287,1414
841,289,1459
854,299,1496
858,301,1542
869,309,1581
876,314,1624
886,320,1664
894,322,1706
901,327,1749
908,332,1792
916,338,1834
925,344,1875
937,353,1913
943,356,1957
947,359,2003
954,366,2046
962,372,2088
970,379,2130
973,381,2177
980,386,2220
987,392,2263
991,396,2309
999,400,2351
1008,408,2392
1013,411,2437
1018,416,2482
1022,418,2528
1025,421,2575
1030,425,2620
1035,429,2665
1042,436,2708
1048,440,2752
1054,443,2796
1059,446,2841
1067,453,2883
1076,459,2924
1083,464,2967
1086,466,3014
1095,471,3055
1101,477,3099
1105,480,3145
1110,484,3190
1118,488,3232
1124,494,3276
1128,497,3322
1131,499,3369
1137,504,3413
1142,509,3458
1145,512,3505
1150,516,3550
1155,520,3595
1159,523,3641
1163,527,3687
1169,532,3731
1174,536,3776
