0,0,0
50,4,0
100,10,0
150,16,0
200,23,0
247,31,3
290,36,10
329,47,21
360,58,40
389,68,61
414,80,86
438,86,112
457,94,143
474,97,176
498,113,202
524,123,226
536,125,264
562,133,288
578,141,322
595,149,355
615,158,385
625,160,425
644,169,456
660,175,490
676,185,524
687,191,563
701,197,599
710,203,640
720,207,680
731,213,719
743,221,757
759,231,791
771,238,829
775,240,875
790,249,910
798,253,952
809,261,991
820,269,1030
823,270,1077
830,275,1120
836,278,1164
846,286,1204
856,295,1244
861,297,1289
866,301,1334
875,306,1375
879,307,1421
885,311,1465
892,315,1508
895,318,1555
900,321,1600
911,327,1639
923,337,1677
926,338,1724
930,342,1770
937,348,1813
945,355,1855
952,360,1898
958,365,1942
968,371,1982
978,375,2022
983,378,2067
988,383,2112
996,391,2154
1003,395,2197
1008,398,2242
1018,406,2282
1025,409,2325
1035,415,2365
1045,422,2405
1049,425,2451
1055,430,2495
1061,435,2539
1067,440,2583
1075,448,2625
1082,454,2668
1086,457,2714
1090,460,2760
1097,466,2803
1101,470,2849
1106,475,2894
1114,479,2936
1118,482,2982
1124,487,3026
1128,491,3072
1136,498,3114
1139,500,3161
1143,502,3207
1149,507,3251
1155,512,3295
1159,516,3341
1164,521,3386
1167,523,3433
1172,525,3478
1175,528,3525
1180,531,3570
1186,536,3614
1192,541,3658
1195,544,3705
1198,545,3752
