0,0,0
42,5,8
70,8,30
95,14,55
112,19,88
131,26,119
142,30,158
156,33,194
172,38,228
187,42,263
200,50,300
212,55,338
227,65,373
240,71,410
255,83,445
265,88,485
279,94,521
294,103,556
299,106,601
310,112,640
316,116,684
325,124,725
338,132,762
344,136,806
355,144,845
357,145,893
362,149,938
371,155,979
377,161,1023
385,167,1065
392,172,1108
399,177,1151
410,186,1190
414,187,1236
418,191,1282
422,195,1328
430,202,1370
439,209,1411
444,214,1456
447,216,1503
457,223,1543
461,227,1589
473,235,1627
484,244,1666
492,250,1708
500,256,1750
503,259,1797
509,264,1841
515,268,1885
523,275,1927
526,277,1974
535,285,2015
543,292,2057
547,294,2103
551,296,2149
556,300,2194
560,303,2240
568,309,2282
573,314,2327
576,317,2374
581,321,2419
587,326,2463
593,330,2507
604,338,2546
608,342,2592
613,347,2637
618,351,2682
622,355,2728
625,357,2775
630,362,2820
637,368,2863
640,371,2910
649,380,2951
653,384,2997
657,388,3043
663,394,3087
667,397,3133
670,399,3180
676,405,3224
678,407,3272
681,410,3319
687,416,3363
695,423,3405
699,426,3451
705,432,3495
709,436,3541
712,439,3588
716,442,3634
720,445,3680
723,448,3727
729,454,3771
733,458,3817
738,462,3862
741,465,3909
747,471,3953
750,474,4000
753,477,4047
760,484,4090
766,490,4134
769,493,4181
